extra_condition_id,extra_condition
1,Cannot digivolve
2,"Cleared ""Hacker's Memory"""
3,"Cleared ""Hackers's Memory"""
4,Digimon: Angemon
5,Digimon: BanchoLeomon
6,Digimon: BlackWarGreymon
7,Digimon: Darkdramon
8,Digimon: Gatomon
9,Digimon: KaiserGreymon
10,Digimon: LadyDevimon
11,Digimon: Ouryumon
12,Digimon: Slayerdramon
13,Digimon: Stingmon
14,Digimon: WarGreymon
15,extra_condition_id
16,Item: Beast Spirit of Flame
17,Item: Beast Spirit of Light
18,Item: Digi-Egg of Courage
19,Item: Digi-Egg of Destiny
20,Item: Digi-Egg of Miracles
21,Item: Human Spirit of Flame
22,Item: Human Spirit of Light
23,Mode Change
24,Starter digimon
25,N/A
